Colonne1;T0 vs T6L S;T0 vs T6L R;T0 vs T6D S;T0 vs T6D R;T6L vs T6D S;T6L vs T6D R
RC0G0015700;0;0;1;0;0;0
RC0G0015800;0;0;0;0;0;0
RC0G0015900;0;0;0;0;0;0
RC0G0016000;0;0;0;0;0;0
RC0G0016100;0;0;0;0;0;0
RC0G0016200;0;0;0;0;0;0
RC0G0016300;0;0;0;0;0;0
RC0G0016400;1;0;1;0;0;0
RC0G0016500;0;0;0;0;0;0
RC0G0016600;0;0;0;0;0;0
RC0G0016700;0;0;0;0;0;0
RC0G0016800;0;0;0;0;0;0
RC0G0016900;0;0;0;0;0;0
RC0G0017000;0;0;0;0;0;0
RC0G0017100;0;0;0;0;0;0
RC0G0017200;0;0;0;0;0;0
RC0G0017300;0;0;0;0;0;0
RC0G0017400;0;0;0;0;0;0
RC0G0017500;0;0;0;0;0;0
RC0G0017600;0;0;0;0;0;0
RC0G0017700;0;0;0;0;0;0
RC0G0017800;0;0;0;0;0;0
RC0G0017900;0;0;0;0;0;0
RC0G0018000;1;0;0;0;0;0
RC0G0018100;1;0;1;0;0;0
RC0G0018200;0;0;0;0;0;0
RC0G0018300;0;0;0;0;0;0
RC0G0018400;0;0;0;0;0;0
RC0G0018500;0;0;1;0;0;0
RC0G0018600;0;0;0;0;0;0
RC0G0018700;0;1;0;1;0;0
RC0G0018800;0;0;0;0;0;0
RC0G0018900;0;0;0;0;0;0
RC0G0019000;0;0;0;0;0;0
RC0G0019100;0;0;0;0;0;0
RC0G0019200;0;0;0;0;0;0
RC0G0019300;0;0;0;0;0;0
RC0G0019400;1;0;0;0;0;0
RC0G0019500;0;1;0;1;0;0
RC0G0019600;0;0;0;0;0;0
RC0G0019700;0;0;0;0;0;0
RC0G0019800;0;0;0;0;0;0
RC0G0019900;0;0;0;0;0;0
RC0G0020000;0;0;0;0;0;0
RC0G0020100;0;0;0;0;0;0
RC0G0020200;0;0;0;0;0;0
RC0G0020300;0;0;0;0;0;0
RC0G0020400;0;0;0;0;0;0
RC0G0020500;0;0;0;0;0;0
RC0G0020600;0;0;0;0;0;0
RC0G0020700;0;0;0;1;0;0
RC0G0020800;0;0;0;0;0;0
RC0G0020900;0;0;0;0;0;0
RC0G0021000;0;0;0;0;0;0
RC0G0021100;0;0;0;0;0;0
RC0G0021200;0;0;0;0;0;0
RC0G0021300;0;0;1;0;0;0
RC0G0021400;0;0;0;0;0;0
RC0G0021500;0;0;0;0;0;0
RC0G0021600;0;0;0;0;0;0
RC0G0021700;0;0;0;0;0;0
RC0G0021800;0;0;0;0;0;0
RC0G0021900;0;0;0;0;0;0
RC0G0022000;0;0;0;0;0;0
RC0G0022100;0;1;0;1;0;0
RC0G0022200;1;0;0;0;0;1
RC0G0022300;0;0;1;0;0;0
RC0G0022400;0;0;0;0;0;0
RC0G0022500;0;0;0;0;0;0
RC0G0022600;0;0;0;0;0;0
RC0G0022700;0;0;0;0;0;0
RC0G0022800;0;0;0;0;1;0
RC0G0022900;0;0;0;0;0;0
RC0G0023000;0;1;0;0;1;0
RC0G0023100;0;0;0;0;0;0
RC0G0023200;0;0;0;0;0;0
RC0G0023300;1;0;0;0;0;0
RC0G0023400;0;0;0;0;0;0
RC0G0023500;0;0;1;0;0;0
RC0G0023600;0;0;1;0;1;0
RC0G0023700;0;0;0;0;0;0
RC0G0023800;0;0;0;0;0;0
RC0G0023900;0;0;0;0;0;0
RC0G0024000;0;0;0;1;0;0
RC0G0024100;0;0;0;0;0;0
RC0G0024200;0;0;0;0;0;0
RC0G0024300;0;0;0;0;0;0
RC0G0024400;0;0;0;0;0;0
RC0G0024500;0;0;0;0;0;0
RC0G0024600;0;0;0;0;0;0
RC0G0024700;0;0;0;0;0;0
RC0G0024800;0;0;0;0;0;0
RC0G0024900;1;0;0;0;0;0
RC0G0025000;0;0;0;0;0;0
RC0G0025100;0;0;0;0;0;0
RC0G0025200;0;0;0;0;0;0
RC0G0025300;0;0;0;0;0;0
RC0G0025400;0;1;0;0;0;0
RC0G0025500;0;0;0;0;0;0
RC0G0025600;0;0;0;0;0;0
RC0G0025700;0;0;0;1;0;0
RC0G0025800;0;0;0;0;0;0
RC0G0025900;0;0;0;0;0;0
