Colonne1;T0 vs T6L S;T0 vs T6L R;T0 vs T6D S;T0 vs T6D R;T6L vs T6D S;T6L vs T6D R
RC2G0109100;0;0;0;0;0;0
RC2G0109200;0;0;0;0;0;0
RC2G0109300;0;0;0;0;0;0
RC2G0109400;0;0;0;0;0;0
RC2G0109500;0;0;0;0;0;0
RC2G0109600;0;0;0;0;0;0
RC2G0109700;1;0;0;0;0;1
RC2G0109800;0;0;1;0;1;0
RC2G0109900;0;0;0;0;0;0
RC2G0110000;0;0;0;0;0;0
RC2G0110100;0;0;0;0;0;0
RC2G0110200;0;0;0;0;0;0
RC2G0110300;0;0;0;0;0;0
RC2G0110400;0;0;0;0;0;0
RC2G0110500;0;0;0;0;0;0
RC2G0110600;0;0;0;0;0;0
RC2G0110700;0;0;0;0;0;0
RC2G0110800;0;0;0;0;0;0
RC2G0110900;0;0;0;0;0;0
RC2G0111000;0;0;0;0;0;0
RC2G0111100;0;0;0;0;0;0
RC2G0111200;1;0;0;0;0;0
RC2G0111300;0;0;0;0;0;0
RC2G0111400;0;0;0;0;0;0
RC2G0111500;0;0;0;0;0;0
RC2G0111600;1;0;1;0;0;0
RC2G0111700;0;0;0;0;0;0
RC2G0111800;0;0;0;0;0;0
RC2G0111900;0;0;0;0;0;0
RC2G0112000;0;0;0;1;0;0
RC2G0112100;0;0;0;0;0;0
RC2G0112200;0;0;0;0;0;0
RC2G0112300;0;1;0;1;0;0
RC2G0112400;0;0;0;0;0;0
RC2G0112500;0;0;0;0;0;0
RC2G0112600;0;0;0;0;0;0
RC2G0112700;0;0;0;0;0;0
RC2G0112800;0;0;0;0;0;0
RC2G0112900;0;0;0;0;0;0
RC2G0113000;0;0;0;0;0;0
RC2G0113100;0;0;0;0;0;0
RC2G0113200;0;1;0;0;1;0
RC2G0113300;0;0;0;0;0;0
RC2G0113400;0;0;1;0;1;0
RC2G0113500;0;0;0;0;0;0
RC2G0113600;0;0;0;0;0;0
RC2G0113700;0;0;0;0;0;0
RC2G0113800;0;0;0;0;0;0
RC2G0113900;0;0;0;0;0;0
RC2G0114000;0;0;0;0;0;0
RC2G0114100;0;0;0;0;0;0
RC2G0114200;0;0;0;0;0;0
RC2G0114300;0;0;0;0;0;0
RC2G0114400;0;0;1;0;0;0
RC2G0114500;0;0;1;0;0;0
RC2G0114600;0;0;0;0;0;0
RC2G0114700;0;0;0;0;0;0
RC2G0114800;0;0;0;0;0;0
RC2G0114900;0;0;0;0;0;0
RC2G0115000;0;0;0;0;0;0
RC2G0115100;0;0;0;0;0;0
RC2G0115200;0;0;0;0;0;0
RC2G0115300;1;0;1;0;0;0
RC2G0115400;0;0;0;0;0;0
RC2G0115500;0;0;0;0;0;0
RC2G0115600;0;0;0;0;0;0
RC2G0115700;0;0;0;0;0;0
RC2G0115800;0;0;0;0;0;0
RC2G0115900;0;0;0;0;0;0
RC2G0116000;0;0;0;0;0;0
RC2G0116100;0;0;0;0;0;0
RC2G0116200;0;0;0;0;0;0
RC2G0116300;0;0;0;0;0;0
RC2G0116400;0;0;1;0;1;0
RC2G0116500;1;0;1;0;0;0
RC2G0116600;0;0;0;0;0;0
RC2G0116700;0;0;0;0;0;0
RC2G0116800;0;0;0;0;0;0
RC2G0116900;0;0;0;1;0;0
RC2G0117000;0;0;0;0;0;0
RC2G0117100;0;1;0;1;0;1
RC2G0117200;0;1;0;1;0;1
RC2G0117300;0;0;0;0;0;0
RC2G0117400;0;0;0;0;0;0
RC2G0117500;0;0;0;0;0;0
RC2G0117600;0;0;0;1;0;0
RC2G0117700;0;0;0;0;0;0
RC2G0117800;0;0;0;0;0;0
RC2G0117900;0;0;0;0;0;0
RC2G0118000;0;0;0;0;0;0
RC2G0118100;0;0;0;0;0;0
RC2G0118200;0;0;0;0;0;0
RC2G0118300;0;0;0;0;0;0
RC2G0118400;0;0;0;0;0;0
RC2G0118500;0;0;0;0;0;0
RC2G0118600;0;0;0;0;0;0
RC2G0118700;0;0;0;0;0;0
RC2G0118800;0;0;0;1;0;0
RC2G0118900;0;1;0;1;0;0
RC2G0119000;0;1;0;1;0;0
RC2G0119100;0;0;0;0;0;0
RC2G0119200;0;0;0;0;0;0
RC2G0119300;0;0;0;0;0;0
RC2G0119400;1;0;1;0;0;0
RC2G0119500;0;0;0;0;0;0
RC2G0119600;1;0;0;0;0;0
RC2G0119700;0;0;0;0;0;0
RC2G0119800;0;0;0;0;0;0
RC2G0119900;0;0;0;0;0;0
RC2G0120000;0;0;0;0;0;0
RC2G0120100;0;0;0;0;0;0
RC2G0120200;0;0;0;0;0;0
RC2G0120300;0;1;0;1;0;0
RC2G0120400;0;0;0;0;0;0
RC2G0120500;0;0;0;0;0;0
RC2G0120600;0;0;0;0;0;0
RC2G0120700;0;0;0;0;0;0
RC2G0120800;0;0;0;0;0;0
RC2G0120900;0;0;0;0;0;0
RC2G0121000;0;0;0;0;0;0
RC2G0121100;0;0;0;0;0;0
RC2G0121200;0;0;0;0;0;0
RC2G0121300;0;0;0;0;0;0
RC2G0121400;0;0;0;0;0;0
RC2G0121500;0;0;0;0;0;0
RC2G0121600;0;0;0;0;0;0
RC2G0121700;0;0;0;0;0;0
RC2G0121800;0;0;0;0;0;0
RC2G0121900;0;0;0;0;0;0
RC2G0122000;0;0;0;0;0;0
RC2G0122100;0;0;0;1;0;0
RC2G0122200;0;0;0;0;0;0
RC2G0122300;0;0;0;0;0;0
RC2G0122400;0;0;0;1;0;0
RC2G0122500;0;0;0;1;0;0
RC2G0122600;0;0;0;0;0;1
RC2G0122700;0;0;0;0;0;0
RC2G0122800;0;0;0;0;0;0
RC2G0122900;0;0;0;1;0;0
RC2G0123000;0;0;0;0;0;0
RC2G0123100;0;0;0;0;0;0
RC2G0123200;0;0;0;0;0;0
RC2G0123300;0;0;0;0;0;0
RC2G0123400;0;0;0;0;0;0
RC2G0123500;0;0;0;0;0;0
RC2G0123600;0;0;0;0;0;0
RC2G0123700;0;0;0;0;0;0
RC2G0123800;0;0;0;0;0;0
RC2G0123900;0;0;0;0;0;0
RC2G0124000;0;0;0;0;0;0
RC2G0124100;0;0;0;0;0;0
RC2G0124200;0;0;0;0;0;0
RC2G0124300;0;0;0;0;0;0
RC2G0124400;0;0;0;0;0;0
RC2G0124500;0;1;0;1;0;0
RC2G0124600;0;0;0;0;0;0
RC2G0124700;0;0;0;0;0;0
RC2G0124800;0;0;0;0;0;0
RC2G0124900;0;0;0;0;0;0
RC2G0125000;0;0;0;1;0;0
RC2G0125100;0;0;0;0;0;0
RC2G0125200;0;0;0;0;0;0
RC2G0125300;0;1;0;0;0;0
RC2G0125400;0;0;0;0;1;0
RC2G0125500;0;0;0;0;0;0
RC2G0125600;0;1;0;0;0;0
RC2G0125700;0;0;0;0;1;0
RC2G0125800;0;0;0;0;0;0
RC2G0125900;0;1;0;1;0;0
RC2G0126000;0;0;0;0;0;0
RC2G0126100;0;0;0;0;0;0
RC2G0126200;0;0;0;0;0;0
RC2G0126300;0;0;0;0;0;0
RC2G0126400;0;0;0;0;0;0
RC2G0126500;0;0;0;0;0;0
RC2G0126600;0;0;0;0;0;0
RC2G0126700;0;0;0;0;0;0
RC2G0126800;0;0;0;0;0;0
RC2G0126900;0;0;0;0;0;0
RC2G0127000;0;0;0;1;0;0
RC2G0127100;0;0;0;0;0;0
RC2G0127200;0;0;0;0;0;0
RC2G0127300;0;0;0;0;0;0
RC2G0127400;0;0;0;0;0;0
RC2G0127500;0;0;0;0;0;0
RC2G0127600;0;0;0;1;0;1
RC2G0127700;0;0;0;0;0;0
RC2G0127800;0;0;0;0;0;0
RC2G0127900;1;0;0;0;0;0
RC2G0128000;0;0;0;1;0;0
RC2G0128100;0;0;0;0;0;0
RC2G0128200;0;0;0;0;0;0
RC2G0128300;0;1;0;0;1;0
RC2G0128400;0;0;0;0;0;0
RC2G0128500;0;0;0;0;0;0
RC2G0128600;0;0;0;0;0;0
RC2G0128700;0;0;0;0;0;0
RC2G0128800;0;0;0;0;0;0
RC2G0128900;0;0;0;0;0;0
RC2G0129000;0;0;0;0;0;0
RC2G0129100;0;0;0;0;0;0
RC2G0129200;0;0;0;0;0;1
RC2G0129300;0;0;0;0;0;0
RC2G0129400;0;0;0;0;0;0
RC2G0129500;0;0;0;0;0;0
RC2G0129600;1;0;1;0;0;0
RC2G0129700;0;0;0;0;0;0
RC2G0129800;0;0;0;0;0;0
RC2G0129900;0;0;0;0;0;0
RC2G0130000;0;0;0;0;0;0
RC2G0130100;0;0;0;0;0;0
RC2G0130200;0;0;0;0;0;0
RC2G0130300;0;0;0;0;0;0
RC2G0130400;0;0;0;1;0;1
RC2G0130500;0;0;0;0;0;0
RC2G0130600;0;0;0;0;0;0
RC2G0130700;0;0;0;0;0;0
RC2G0130800;0;0;0;0;0;0
RC2G0130900;0;0;0;0;0;0
RC2G0131000;0;0;0;0;0;0
RC2G0131100;0;1;0;0;0;0
RC2G0131200;0;0;0;0;0;0
RC2G0131300;0;0;0;0;0;0
RC2G0131400;0;0;0;0;0;0
RC2G0131500;0;0;0;0;0;0
RC2G0131600;0;0;0;0;0;0
RC2G0131700;0;0;0;0;0;0
RC2G0131800;0;1;0;1;0;0
RC2G0131900;0;0;0;0;0;0
RC2G0132000;0;0;0;0;0;0
RC2G0132100;0;0;0;0;0;0
RC2G0132200;0;0;1;0;0;0
RC2G0132300;0;0;0;0;0;0
RC2G0132400;0;0;0;0;0;0
RC2G0132500;0;0;0;0;0;0
RC2G0132600;0;0;0;0;0;0
RC2G0132700;0;0;0;0;0;0
RC2G0132800;0;0;0;0;0;0
RC2G0132900;0;0;0;0;0;0
RC2G0133000;0;0;0;0;0;0
RC2G0133100;0;0;0;0;0;0
RC2G0133200;0;0;0;0;0;0
RC2G0133300;0;0;0;0;0;0
RC2G0133400;0;0;0;0;0;0
RC2G0133500;0;0;0;1;0;0
RC2G0133600;0;0;0;0;0;0
RC2G0133700;0;1;0;1;0;0
RC2G0133800;0;1;0;1;0;0
RC2G0133900;0;0;0;0;0;0
RC2G0134000;0;0;0;0;0;0
RC2G0134100;0;0;0;0;0;0
RC2G0134200;0;0;0;0;0;0
RC2G0134300;0;0;0;1;0;0
RC2G0134400;0;1;0;1;0;0
RC2G0134500;0;0;0;0;0;0
RC2G0134600;0;0;0;0;0;0
RC2G0134700;0;0;0;0;0;0
RC2G0134800;0;0;0;0;0;0
RC2G0134900;0;0;0;0;0;0
RC2G0135000;0;0;0;0;0;0
RC2G0135100;0;0;1;0;1;0
RC2G0135200;0;0;0;0;0;0
RC2G0135300;0;0;1;0;1;0
RC2G0135400;0;0;0;1;0;1
RC2G0135500;0;0;0;0;0;0
RC2G0135600;0;0;0;0;0;0
RC2G0135700;0;0;0;0;0;0
RC2G0135800;0;1;0;1;0;0
RC2G0135900;0;0;0;0;0;0
RC2G0136000;0;0;0;1;0;1
RC2G0136100;0;0;0;0;0;0
RC2G0136200;0;1;0;1;0;0
RC2G0136300;0;0;0;1;0;0
RC2G0136400;0;1;0;0;0;0
RC2G0136500;0;0;0;0;0;0
RC2G0136600;0;0;0;0;0;0
RC2G0136700;0;0;0;1;0;0
RC2G0136800;0;0;0;0;0;0
RC2G0136900;0;0;0;1;0;1
RC2G0137000;0;0;0;0;0;0
RC2G0137100;0;0;0;0;0;0
RC2G0137200;0;0;0;0;0;0
RC2G0137300;0;0;0;0;0;0
RC2G0137400;0;0;0;0;0;0
RC2G0137500;0;0;0;0;0;0
RC2G0137600;1;0;1;0;0;0
RC2G0137700;0;0;0;0;0;0
RC2G0137800;0;0;0;1;0;1
RC2G0137900;0;0;0;0;0;0
RC2G0138000;0;0;0;0;0;0
RC2G0138100;0;0;0;0;0;0
RC2G0138200;0;0;0;0;0;0
RC2G0138300;0;0;0;0;0;0
RC2G0138400;0;0;0;1;0;0
RC2G0138500;0;0;0;0;0;0
RC2G0138600;0;0;0;0;0;0
RC2G0138700;0;0;0;0;0;0
RC2G0138800;0;0;0;0;0;0
RC2G0138900;0;0;0;0;0;0
RC2G0139000;0;0;0;0;0;0
RC2G0139100;0;1;0;1;0;0
RC2G0139200;0;0;0;0;0;0
RC2G0139300;0;0;0;0;0;0
RC2G0139400;0;0;0;0;0;0
RC2G0139500;0;0;0;0;0;0
RC2G0139600;0;0;0;1;0;0
RC2G0139700;0;0;1;0;0;0
RC2G0139800;0;0;0;0;0;0
RC2G0139900;0;1;0;1;0;0
RC2G0140000;0;1;0;1;0;0
RC2G0140100;0;0;0;0;0;0
RC2G0140200;0;0;0;0;0;0
RC2G0140300;0;0;0;0;0;0
RC2G0140400;0;0;0;0;0;0
RC2G0140500;0;0;0;0;0;0
RC2G0140600;0;0;0;0;0;0
RC2G0140700;0;0;0;0;0;0
RC2G0140800;1;0;1;0;0;0
RC2G0140900;0;0;0;0;0;0
RC2G0141000;0;1;0;0;0;0
RC2G0141100;0;0;0;0;0;0
RC2G0141200;0;0;0;0;0;0
RC2G0141300;0;0;0;0;0;0
RC2G0141400;0;0;0;0;0;0
RC2G0141500;0;1;0;1;0;0
RC2G0141600;0;0;0;0;0;0
RC2G0141700;0;0;0;0;0;0
RC2G0141800;0;0;0;0;0;0
RC2G0141900;0;0;0;0;0;0
RC2G0142000;0;0;0;0;0;0
RC2G0142100;0;0;0;0;0;0
RC2G0142200;0;0;0;0;0;0
RC2G0142300;0;0;0;0;0;0
RC2G0142400;0;0;0;0;0;0
RC2G0142500;0;0;0;0;0;0
RC2G0142600;0;0;0;0;0;0
RC2G0142700;0;0;0;0;0;0
RC2G0142800;0;0;0;1;0;0
RC2G0142900;0;0;0;0;0;0
RC2G0143000;0;0;0;1;0;0
RC2G0143100;0;0;0;0;0;0
RC2G0143200;0;0;0;1;0;1
RC2G0143300;0;1;0;0;0;0
RC2G0143400;0;0;0;0;0;0
RC2G0143500;0;0;0;0;0;0
RC2G0143600;0;0;0;0;0;0
RC2G0143700;0;0;0;0;0;0
RC2G0143800;0;0;0;0;0;0
RC2G0143900;0;0;0;0;0;0
RC2G0144000;0;0;0;0;0;0
RC2G0144100;0;0;0;0;0;0
RC2G0144200;0;0;0;0;0;0
RC2G0144300;0;0;0;0;0;0
RC2G0144400;0;0;0;0;0;0
RC2G0144500;0;0;0;0;0;0
RC2G0144600;0;0;0;0;0;0
RC2G0144700;0;1;0;0;0;0
RC2G0144800;0;0;0;0;0;0
RC2G0144900;0;0;0;0;0;0
RC2G0145000;1;0;1;0;0;0
RC2G0145100;0;0;0;0;0;0
RC2G0145200;0;0;0;0;0;0
RC2G0145300;0;0;0;0;0;0
RC2G0145400;0;0;0;0;0;0
RC2G0145500;0;0;0;0;0;0
RC2G0145600;0;0;0;0;0;0
RC2G0145700;0;0;0;0;0;0
RC2G0145800;0;0;0;0;0;0
RC2G0145900;1;0;0;0;0;0
RC2G0146000;0;0;0;0;0;0
RC2G0146100;0;0;0;0;0;0
RC2G0146200;1;0;0;0;0;0
RC2G0146300;0;0;0;0;0;0
RC2G0146400;0;0;0;0;0;0
RC2G0146500;0;0;0;0;0;0
RC2G0146600;0;0;0;0;0;0
RC2G0146700;0;1;0;1;0;0
RC2G0146800;0;0;1;0;0;0
RC2G0146900;0;0;0;0;0;0
RC2G0147000;0;0;0;0;0;0
RC2G0147100;0;0;0;0;0;0
RC2G0147200;0;0;0;0;0;0
RC2G0147300;0;0;0;0;0;0
RC2G0147400;0;0;0;0;0;0
RC2G0147500;0;0;0;1;0;0
RC2G0147600;0;0;0;0;0;0
RC2G0147700;1;0;0;0;0;1
RC2G0147800;1;0;0;0;0;0
RC2G0147900;0;0;0;0;0;1
RC2G0148000;0;0;0;1;0;1
RC2G0148100;0;0;0;1;0;0
RC2G0148200;0;0;0;0;0;0
RC2G0148300;0;0;0;1;0;0
RC2G0148400;0;0;0;0;0;0
RC2G0148500;0;0;0;0;0;0
RC2G0148600;0;0;0;0;0;0
RC2G0148700;0;0;0;0;0;0
RC2G0148800;0;0;0;0;0;0
RC2G0148900;0;0;0;0;0;0
RC2G0149000;0;0;0;1;0;1
RC2G0149100;1;0;1;0;0;0
RC2G0149200;0;0;0;1;0;0
RC2G0149300;0;0;0;0;0;1
RC2G0149400;0;0;0;1;0;0
RC2G0149500;0;0;0;0;0;0
RC2G0149600;0;0;0;0;0;0
RC2G0149700;0;1;0;1;0;0
RC2G0149800;0;1;0;1;0;0
RC2G0149900;0;0;0;0;0;0
RC2G0150000;0;0;0;0;0;0
RC2G0150100;0;0;0;0;0;0
RC2G0150200;0;0;0;0;0;0
RC2G0150300;0;0;0;0;0;0
RC2G0150400;0;0;0;0;0;0
RC2G0150500;0;0;0;0;0;1
RC2G0150600;0;1;0;1;0;0
RC2G0150700;0;0;0;0;0;0
RC2G0150800;0;0;0;0;0;0
RC2G0150900;0;0;0;1;0;1
RC2G0151000;0;0;0;1;0;0
RC2G0151100;0;0;0;0;0;0
RC2G0151200;0;0;0;0;0;0
RC2G0151300;0;0;0;0;0;0
RC2G0151400;0;0;0;0;0;0
RC2G0151500;0;0;0;0;0;0
RC2G0151600;0;0;0;0;0;0
RC2G0151700;0;1;0;1;0;0
RC2G0151800;0;0;1;0;0;0
RC2G0151900;0;0;0;0;0;0
RC2G0152000;0;0;0;0;0;0
RC2G0152100;0;0;0;1;0;0
RC2G0152200;0;0;0;0;0;0
RC2G0152300;0;0;0;0;0;0
RC2G0152400;0;0;0;0;0;0
RC2G0152500;0;0;0;0;0;0
RC2G0152600;0;0;0;0;0;0
RC2G0152700;0;0;0;0;0;0
RC2G0152800;0;0;0;0;0;0
RC2G0152900;0;0;0;0;0;0
RC2G0153000;0;0;0;0;0;0
RC2G0153100;0;0;1;0;1;0
RC2G0153200;0;0;0;0;0;0
RC2G0153300;0;0;0;0;0;0
RC2G0153400;0;0;1;0;0;0
RC2G0153500;1;0;1;0;0;0
RC2G0153600;0;0;0;0;0;0
RC2G0153700;0;0;0;0;0;0
RC2G0153800;0;0;0;0;0;0
RC2G0153900;0;0;0;0;0;0
RC2G0154000;0;0;0;0;0;0
RC2G0154100;0;0;0;0;0;0
RC2G0154200;0;0;0;1;0;0
RC2G0154300;0;0;0;1;0;0
RC2G0154400;0;0;0;0;0;0
RC2G0154500;0;0;0;0;0;0
RC2G0154600;0;0;0;0;0;0
RC2G0154700;0;0;0;0;0;0
RC2G0154800;1;0;0;0;0;0
RC2G0154900;0;0;0;0;0;0
RC2G0155000;0;0;0;0;0;0
RC2G0155100;0;0;0;0;0;0
RC2G0155200;0;0;0;0;0;0
RC2G0155300;0;0;0;0;0;0
RC2G0155400;0;0;0;0;0;0
RC2G0155500;0;0;0;0;0;0
RC2G0155600;0;0;0;0;0;0
RC2G0155700;0;0;0;0;0;0
RC2G0155800;0;1;0;0;1;0
RC2G0155900;0;0;0;0;0;0
RC2G0156000;0;0;0;0;0;0
RC2G0156100;0;0;0;0;0;0
RC2G0156200;0;0;0;0;0;0
RC2G0156300;0;0;1;0;1;0
RC2G0156400;0;0;0;0;0;0
RC2G0156500;0;0;0;0;0;0
RC2G0156600;0;0;0;0;0;0
RC2G0156700;0;0;0;0;0;0
RC2G0156800;0;0;0;0;0;0
RC2G0156900;0;0;0;0;0;0
RC2G0157000;0;0;0;1;0;0
RC2G0157100;0;0;0;0;0;0
RC2G0157200;0;0;0;0;0;0
RC2G0157300;0;1;0;1;0;0
RC2G0157400;0;0;0;0;0;0
RC2G0157500;0;0;0;0;0;0
RC2G0157600;0;0;0;0;0;0
RC2G0157700;0;1;0;0;1;0
RC2G0157800;0;0;0;0;0;0
RC2G0157900;0;0;0;0;0;0
RC2G0158000;0;0;0;0;0;0
RC2G0158100;1;0;1;0;0;0
RC2G0158200;0;0;0;0;0;0
RC2G0158300;0;0;0;0;0;0
RC2G0158400;0;0;0;0;0;0
RC2G0158500;0;0;0;0;0;0
RC2G0158600;0;0;0;1;0;1
RC2G0158700;0;1;0;1;0;0
RC2G0158800;0;0;0;0;0;0
RC2G0158900;0;1;0;1;0;0
RC2G0159000;0;0;0;0;0;0
RC2G0159100;0;0;0;0;0;0
RC2G0159200;0;0;0;1;0;0
RC2G0159300;0;0;0;0;0;0
RC2G0159400;0;0;0;0;0;0
RC2G0159500;0;0;0;0;0;0
RC2G0159600;0;0;0;0;0;0
RC2G0159700;0;0;0;0;0;0
RC2G0159800;0;0;0;0;0;0
RC2G0159900;0;1;0;1;0;0
RC2G0160000;0;0;0;0;0;0
RC2G0160100;0;0;0;0;0;0
RC2G0160200;0;0;0;0;0;0
RC2G0160300;0;0;0;0;0;0
RC2G0160400;0;0;0;0;0;0
RC2G0160500;1;0;1;0;0;0
RC2G0160600;1;0;1;0;0;0
RC2G0160700;0;0;0;0;0;0
RC2G0160800;1;0;0;1;0;1
RC2G0160900;1;0;0;0;0;1
RC2G0161000;0;0;0;0;0;0
RC2G0161100;0;0;0;0;0;0
RC2G0161200;0;0;0;0;0;0
RC2G0161300;0;0;0;0;0;0
RC2G0161400;0;0;0;0;0;0
RC2G0161500;0;0;0;0;0;0
RC2G0161600;0;0;0;0;0;0
RC2G0161700;0;0;0;0;0;0
RC2G0161800;0;0;0;0;0;0
RC2G0161900;0;1;0;0;0;0
RC2G0162000;0;0;0;0;0;0
RC2G0162100;0;1;0;1;0;1
RC2G0162200;0;0;0;0;0;0
RC2G0162300;0;0;0;0;0;0
RC2G0162400;0;0;0;0;0;0
RC2G0162500;0;0;0;0;0;0
RC2G0162600;0;0;0;0;0;0
RC2G0162700;0;0;1;0;0;0
RC2G0162800;0;0;0;1;0;0
RC2G0162900;0;0;0;0;0;0
RC2G0163000;0;1;0;0;0;0
RC2G0163100;0;1;0;1;0;0
RC2G0163200;0;0;0;0;0;0
RC2G0163300;0;0;0;0;0;0
RC2G0163400;0;0;0;0;0;0
RC2G0163500;0;0;0;0;0;0
RC2G0163600;0;0;0;0;0;0
RC2G0163700;0;0;0;0;0;0
RC2G0163800;0;0;0;0;0;0
RC2G0163900;0;0;0;0;0;0
RC2G0164000;0;0;0;0;0;0
RC2G0164100;0;0;0;0;0;0
RC2G0164200;0;0;0;0;0;0
RC2G0164300;0;0;0;0;0;0
RC2G0164400;0;0;1;0;0;0
RC2G0164500;0;0;0;0;0;0
RC2G0164600;0;0;1;0;0;0
RC2G0164700;0;0;0;0;0;0
RC2G0164800;0;0;0;0;0;0
RC2G0164900;0;0;0;0;0;0
RC2G0165000;0;0;0;0;0;0
RC2G0165100;0;0;0;0;0;0
RC2G0165200;0;0;0;0;0;0
RC2G0165300;0;0;0;0;0;0
RC2G0165400;0;0;0;1;0;0
RC2G0165500;0;0;0;0;0;0
RC2G0165600;0;0;0;0;0;0
RC2G0165700;0;0;0;0;0;0
RC2G0165800;0;1;0;0;1;0
RC2G0165900;0;1;0;0;1;0
RC2G0166000;0;0;0;0;0;0
RC2G0166100;0;0;0;0;0;1
RC2G0166200;0;0;0;0;0;0
RC2G0166300;0;0;0;0;0;0
RC2G0166400;0;0;0;0;0;0
RC2G0166500;0;0;0;0;0;0
RC2G0166600;0;0;0;0;0;0
RC2G0166700;0;0;0;0;0;0
RC2G0166800;0;0;0;0;0;0
RC2G0166900;0;0;0;0;0;0
RC2G0167000;0;0;0;0;0;0
RC2G0167100;0;0;0;1;0;1
RC2G0167200;0;0;0;1;0;1
RC2G0167300;0;0;0;0;0;0
RC2G0167400;0;1;0;1;0;0
RC2G0167500;0;0;0;0;0;1
RC2G0167600;0;0;0;0;0;0
RC2G0167700;0;0;0;0;1;0
RC2G0167800;0;0;0;0;0;0
RC2G0167900;0;0;0;0;0;0
RC2G0168000;0;0;0;0;0;0
RC2G0168100;0;0;0;0;0;0
RC2G0168200;0;0;0;0;0;0
RC2G0168300;0;0;0;0;0;0
RC2G0168400;0;0;0;0;0;0
RC2G0168500;0;0;0;0;0;0
RC2G0168600;0;0;0;0;0;0
RC2G0168700;0;0;0;0;0;0
RC2G0168800;0;0;0;0;0;0
RC2G0168900;0;0;0;0;0;0
RC2G0169000;0;0;0;0;0;0
RC2G0169100;0;0;0;0;0;0
RC2G0169200;0;0;0;0;0;0
RC2G0169300;0;0;0;0;0;0
RC2G0169400;0;0;0;0;0;0
RC2G0169500;0;1;0;0;0;0
RC2G0169600;0;0;0;0;0;0
RC2G0169700;0;0;0;0;0;0
RC2G0169800;0;0;0;0;0;0
RC2G0169900;0;0;0;0;0;0
RC2G0170000;0;0;0;0;0;0
RC2G0170100;0;0;0;0;0;0
RC2G0170200;0;0;0;0;0;0
RC2G0170300;0;0;0;0;0;0
RC2G0170400;0;0;0;0;0;0
RC2G0170500;0;0;0;0;0;0
RC2G0170600;0;0;0;0;0;0
RC2G0170700;0;0;0;0;0;0
RC2G0170800;0;0;0;0;0;0
RC2G0170900;0;1;0;1;0;0
RC2G0171000;0;0;0;0;0;0
RC2G0171100;0;0;0;0;0;0
RC2G0171200;0;0;0;0;0;0
RC2G0171300;0;0;0;0;0;0
RC2G0171400;0;0;0;0;0;0
RC2G0171500;0;0;0;0;0;0
RC2G0171600;0;0;0;0;0;0
RC2G0171700;0;0;0;0;0;0
RC2G0171800;0;0;0;0;0;0
RC2G0171900;0;1;0;0;0;0
RC2G0172000;1;0;1;0;0;0
RC2G0172100;0;0;0;0;0;0
RC2G0172200;0;0;0;0;0;0
RC2G0172300;0;0;0;0;0;0
RC2G0172400;0;0;0;0;0;0
RC2G0172500;0;0;0;0;0;0
RC2G0172600;0;0;0;0;0;0
RC2G0172700;1;0;0;0;0;0
RC2G0172800;0;0;0;0;0;0
RC2G0172900;0;1;0;0;0;0
RC2G0173000;1;0;1;0;0;0
RC2G0173100;0;0;0;0;0;0
RC2G0173200;0;0;0;0;0;0
RC2G0173300;0;0;0;0;0;0
RC2G0173400;0;0;0;0;1;0
RC2G0173500;0;0;0;0;0;0
RC2G0173600;0;0;1;0;1;0
RC2G0173700;0;0;0;0;0;0
RC2G0173800;0;0;0;0;0;0
RC2G0173900;0;0;0;0;0;0
RC2G0174000;0;0;0;0;0;0
RC2G0174100;0;0;0;0;0;0
RC2G0174200;0;0;0;0;0;0
RC2G0174300;0;0;0;0;0;0
RC2G0174400;0;0;0;0;0;0
RC2G0174500;0;0;0;0;0;0
RC2G0174600;0;0;0;0;0;0
RC2G0174700;0;0;0;0;0;0
RC2G0174800;0;0;0;0;0;0
RC2G0174900;0;0;0;0;0;0
RC2G0175000;0;0;0;0;0;0
RC2G0175100;0;0;0;0;0;0
RC2G0175200;0;0;0;0;0;0
RC2G0175300;0;0;0;0;0;0
RC2G0175400;0;0;0;0;0;0
RC2G0175500;0;0;0;0;0;0
RC2G0175600;0;0;0;0;0;0
RC2G0175700;0;0;0;0;0;0
RC2G0175800;0;0;0;0;0;0
RC2G0175900;0;0;0;0;0;0
RC2G0176000;0;0;0;0;0;0
RC2G0176100;0;0;0;0;0;0
RC2G0176200;0;0;0;0;0;0
RC2G0176300;0;0;0;0;0;0
RC2G0176400;0;0;0;0;0;0
RC2G0176500;0;0;0;0;0;0
RC2G0176600;0;0;0;0;0;0
RC2G0176700;0;0;0;0;0;0
RC2G0176800;0;0;0;0;0;0
RC2G0176900;0;0;0;0;0;0
RC2G0177000;0;0;0;0;0;0
RC2G0177100;0;0;0;0;0;0
RC2G0177200;0;0;0;0;0;0
RC2G0177300;0;0;0;0;0;0
RC2G0177400;0;0;0;0;0;0
RC2G0177500;0;0;0;0;0;0
RC2G0177600;0;0;0;0;0;0
RC2G0177700;0;0;1;0;0;0
RC2G0177800;0;0;0;0;0;0
RC2G0177900;0;0;0;1;0;0
RC2G0178000;0;1;0;1;0;0
RC2G0178100;0;0;0;0;0;0
RC2G0178200;0;0;0;0;0;0
RC2G0178300;0;0;0;0;0;0
RC2G0178400;0;0;0;0;0;0
RC2G0178500;0;0;0;0;0;0
RC2G0178600;0;0;0;0;0;0
